symbol,sector,fri_close,live,high,low,vol,chg_today%,chg_vs_fri%,ex_div,captured_at_utc
OGDC,Oil & Gas Exploration Companies,321.75,313.98,319.98,313.1,3798329.0,-2.41,-2.41491841491841,True,2026-05-18T09:55:30
PPL,Oil & Gas Exploration Companies,227.37,219.91,225.99,219.8,1970779.0,-3.28,-3.280995733825931,True,2026-05-18T09:55:30
POL,Oil & Gas Exploration Companies,660.51,659.0,660.0,655.0,75548.0,-0.23,-0.22861122465973605,False,2026-05-18T09:55:30
MARI,Oil & Gas Exploration Companies,642.79,633.0,640.8,632.51,234884.0,-1.52,-1.5230479627872162,False,2026-05-18T09:55:30
PSO,Oil & Gas Marketing Companies,354.14,349.4,354.0,348.3,902537.0,-1.34,-1.3384537188682488,False,2026-05-18T09:55:30
APL,Oil & Gas Marketing Companies,564.29,559.0,565.0,555.0,18479.0,-0.94,-0.937461234471626,False,2026-05-18T09:55:30
ATRL,Refinery,890.79,879.97,887.87,877.5,106808.0,-1.21,-1.2146521626870466,False,2026-05-18T09:55:30
HBL,Commercial Banks,274.85,268.79,272.99,268.79,926839.0,-2.2,-2.2048390030925957,False,2026-05-18T09:55:30
UBL,Commercial Banks,379.5,374.0,376.89,372.0,1015888.0,-1.45,-1.449275362318836,False,2026-05-18T09:55:30
NBP,Commercial Banks,179.74,174.7,177.9,173.0,3897669.0,-2.8,-2.804050294870375,False,2026-05-18T09:55:30
MEBL,Commercial Banks,479.59,474.0,482.0,474.0,449478.0,-1.17,-1.1655789320044185,True,2026-05-18T09:55:30
MCB,Commercial Banks,398.88,401.8,403.0,395.01,233130.0,0.73,0.7320497392699687,True,2026-05-18T09:55:30
BAHL,Commercial Banks,160.55,159.9,162.0,158.5,74290.0,-0.4,-0.4048582995951455,False,2026-05-18T09:55:30
FABL,Commercial Banks,87.86,86.49,87.98,86.25,445770.0,-1.56,-1.559298884589122,False,2026-05-18T09:55:30
DGKC,Cement,179.03,173.79,178.0,173.51,1902783.0,-2.93,-2.9268837624979116,False,2026-05-18T09:55:30
KOHC,Cement,80.98,79.38,81.06,78.01,311395.0,-1.98,-1.9757964929612348,False,2026-05-18T09:55:30
LUCK,Cement,417.75,405.85,414.99,405.85,748180.0,-2.85,-2.8485936564931147,False,2026-05-18T09:55:30
MLCF,Cement,83.91,81.4,83.8,80.89,4091967.0,-2.99,-2.991300202598013,False,2026-05-18T09:55:30
FCCL,Cement,49.59,47.5,49.4,47.4,2287455.0,-4.21,-4.214559386973182,False,2026-05-18T09:55:30
KEL,Power Generation & Distribution,8.46,8.17,8.57,8.11,24091909.0,-3.43,-3.427895981087481,False,2026-05-18T09:55:30
HUBC,Power Generation & Distribution,209.82,206.0,209.0,205.9,1510617.0,-1.82,-1.8206081403107421,True,2026-05-18T09:55:30
KAPCO,Power Generation & Distribution,27.07,26.8,27.15,26.7,719065.0,-1.0,-0.9974141115626112,False,2026-05-18T09:55:30
NPL,Power Generation & Distribution,71.64,68.5,71.48,68.02,1845027.0,-4.38,-4.38302624232273,True,2026-05-18T09:55:30
ENGROH,Investment Banks / Investment Companies / Securities Cos.,263.19,259.95,269.0,258.75,1050853.0,-1.23,-1.2310498119229463,False,2026-05-18T09:55:30
EPCL,Chemical,33.45,33.0,33.67,32.81,325481.0,-1.34,-1.3452914798206317,False,2026-05-18T09:55:30
LOTCHEM,Chemical,26.68,26.02,26.84,26.02,379931.0,-2.47,-2.473763118440775,False,2026-05-18T09:55:30
FFC,Fertilizer,512.11,507.7,511.89,506.75,437793.0,-0.86,-0.8611431137841574,True,2026-05-18T09:55:30
EFERT,Fertilizer,196.98,193.7,198.24,191.0,1177326.0,-1.67,-1.6651436694080646,False,2026-05-18T09:55:30
FATIMA,Fertilizer,134.59,133.49,134.5,133.0,166103.0,-0.82,-0.8172969760011806,False,2026-05-18T09:55:30
SEARL,Pharmaceuticals,88.03,84.14,87.08,83.63,1405656.0,-4.42,-4.418948085879815,False,2026-05-18T09:55:30
INDU,Automobile Assembler,1991.65,1992.0,2003.98,1985.0,2792.0,0.02,0.01757336881480498,True,2026-05-18T09:55:30
PABC,Miscellaneous,106.2,106.88,110.95,103.03,8514.0,0.64,0.6403013182674222,False,2026-05-18T09:55:30
COLG,Food & Personal Care Products,1095.45,1091.0,1110.0,1090.0,10928.0,-0.41,-0.4062257519740764,False,2026-05-18T09:55:30
SYS,Technology & Communication,149.52,148.49,149.99,148.0,403647.0,-0.69,-0.688871054039597,True,2026-05-18T09:55:30
TRG,Technology & Communication,63.43,58.5,63.2,58.1,4970883.0,-7.77,-7.772347469651586,False,2026-05-18T09:55:30
